Municipio,Latitud,Longitud,Nombre,Categoría,Distancia,Dirección
alcorcon,40.3492998,-3.8284295,Piko Park,parques,848,"Calle Valladolid, 13, 28922 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Parque Infantil,parques,852,"Calle Polvoranca, Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Parque Ciudad de Mayarí,parques,925,28922 Alcorcón Comunidad de Madrid
alcorcon,40.3492998,-3.8284295,Zona de Ocio Infantil C. C Tres Aguas,parques,981,"Avenida Américas, 7 (C. C. Tres Aguas), Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Parque Infantil Recinto Ferial,parques,1047,
alcorcon,40.3492998,-3.8284295,La Ribota Park (Parque de La Ribota),parques,1100,Alcorcón Comunidad de Madrid
alcorcon,40.3492998,-3.8284295,Domino's Pizza,restaurantes,213,"Plaza del Nuncio, 7, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,La Flor de la Jara 3,restaurantes,274,"Carretera Extremadura, Km 11, 28922 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Cafeteria Alandalus,restaurantes,300,"Avenida Portugal, 24, Alcorcón Madrid"
alcorcon,40.3492998,-3.8284295,Granier,restaurantes,339,"Calle Mayor, 50, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,100 Montaditos,restaurantes,448,"Calle Mayor, 65, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Cafe Venela,restaurantes,467,"Calle San Luis, 42, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Hospital Alcorcon Cafeteria,restaurantes,502,"Budapest, 1, 28922 Alcorcón Madrid"
alcorcon,40.3492998,-3.8284295,El Horno Yomain,restaurantes,550,"Calle Sierra de Picos Europa, 23, 28923 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Asador de Pollos Torrico's,restaurantes,556,"Fuenlabrada, 21, 28921 Fuenlabrada Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Pannus,restaurantes,570,"Calle Mayor, 77, Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Colegio Oficial de Farmaceuticos de Madrid,universidades,23,"Avenida San Martín Valdeiglesias C. Com. Tres Aguas, s/n, 28922 Alcorcón Madrid"
alcorcon,40.3492998,-3.8284295,CES Juan Pablo II,universidades,375,"Calle Estocolmo 1 Bis, 28922 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Universidad Popular de Alcorcon,universidades,542,"Calle Virgen de Icíar, 0, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Ilustre Colegio Oficial de Gestores Administrativos de Madrid,universidades,552,"Trav. Cisneros, 5, 28922 Alcorcón Madrid"
alcorcon,40.3492998,-3.8284295,Breaker,universidades,628,"Sierra Alcubierre, 4, 28923 Alcorcón Madrid"
alcorcon,40.3492998,-3.8284295,Bkformacion,universidades,629,"Calle Sierra de Alcubierre, 4, 28923 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Escuela Infantil Alkor,universidades,875,"Avenida Pablo Iglesias, 4, 28922 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Cp Carmen Conde,universidades,883,"Avenida del Oeste, 2, 28922 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Club Amanecer,universidades,1125,"Avenida Pablo Iglesias, 6, 28922 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Universidad Rey Juan Carlos - Campus de Madrid,universidades,1209,"Paseo de los Artilleros, s/n, 28032 Madrid Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Bar el Verde,bares,132,"Calle Escuelas, 4, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Bar Restaurante Raquel,bares,185,"Calle Noria, 5, 28921 Alcorcón Madrid"
alcorcon,40.3492998,-3.8284295,Cafeteria y Pizzeria Napoles III,bares,222,"Paseo Extremadura, 9 (Calle de la estacion), 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Bocata Café Bar,bares,230,"Calle Polvoranca, 30, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Bar el Remendao,bares,286,"Calle Alfares, 18, 28921 Alcorcón Madrid"
alcorcon,40.3492998,-3.8284295,Cafeteria Demos,bares,302,"Calle Retablo, 3, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Rincón de Mayor,bares,306,"Mayor 44-46, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Chuma Cherry,bares,347,"Calle San José, 9, 28921 Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Bayona bar,bares,369,"Espada, 22, Alcorcón Comunidad de Madrid"
alcorcon,40.3492998,-3.8284295,Bar Bilbao,bares,374,"Calle Bilbao, 13, 28921 Alcorcón Comunidad de Madrid"
aldea-del-fresno,40.3215212,-4.19936,Bar Cosmos,restaurantes,210,"Carretera Chapineria, s/n, 28620 Aldea del Fresno Madrid"
aldea-del-fresno,40.3215212,-4.19936,El Barril,restaurantes,396,"Carretera Madrid, 14, 28620 Aldea del Fresno Comunidad de Madrid"
